dataset_key,dataset_name,direction,target_player,initial_rank,k,trial,trial_winner,influence_success,rigging_success,influence_exposures_seen,rigging_exposures_seen,influence_actions_used,rigging_actions_used,influence_rows_added,rigging_rows_added
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,0,influence_pair,True,True,77,99,77,99,77,99
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,1,influence_pair,True,True,111,120,111,120,111,120
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,2,rigging,True,True,88,82,88,82,88,82
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,3,influence_pair,False,False,120,120,120,120,120,120
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Novak Djokovic,1,3,4,influence_pair,True,False,118,120,118,120,118,120
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,0,influence_pair,True,True,52,54,52,54,52,54
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,1,influence_pair,True,True,47,49,47,49,47,49
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,2,influence_pair,True,True,63,71,63,71,63,71
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,3,influence_pair,True,True,41,47,41,47,41,47
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Carlos Alcaraz,2,3,4,influence_pair,True,True,53,75,53,75,53,75
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,0,influence_pair,True,True,14,14,14,14,14,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,1,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,2,influence_pair,True,True,10,10,10,10,10,10
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,3,influence_pair,True,True,7,7,7,7,7,7
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Daniil Medvedev,3,3,4,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,0,rigging,True,True,37,36,37,36,37,36
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,1,influence_pair,True,True,29,29,29,29,29,29
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,2,influence_pair,True,True,29,34,29,34,29,34
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,3,influence_pair,True,True,25,26,25,26,25,26
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Jannik Sinner,4,6,4,influence_pair,True,True,28,28,28,28,28,28
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,0,influence_pair,True,True,3,3,3,3,3,3
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,0,influence_pair,True,True,13,18,13,18,13,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,1,influence_pair,True,True,2,2,2,2,2,2
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,1,influence_pair,True,True,14,15,14,15,14,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,2,influence_pair,True,True,8,13,8,13,8,13
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,2,rigging,True,True,28,15,28,15,28,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,3,influence_pair,True,True,11,17,11,17,11,17
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,3,influence_pair,True,True,27,31,27,31,27,31
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,6,4,influence_pair,True,True,4,4,4,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Holger Rune,5,7,4,rigging,True,True,10,10,10,10,10,10
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,0,influence_pair,True,True,2,2,2,2,2,2
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,0,rigging,True,True,23,16,23,16,23,16
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,1,influence_pair,True,True,4,4,4,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,1,rigging,True,True,26,22,26,22,26,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,2,influence_pair,True,True,1,1,1,1,1,1
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,2,rigging,True,True,30,20,30,20,30,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,3,influence_pair,True,True,6,6,6,6,6,6
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,3,rigging,True,True,24,20,24,20,24,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,6,4,influence_pair,True,True,5,5,5,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Alexander Zverev,6,7,4,rigging,True,True,24,20,24,20,24,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,0,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,1,influence_pair,True,True,21,22,21,22,21,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,2,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,3,influence_pair,True,True,18,18,18,18,18,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),demote,Taylor Fritz,7,7,4,rigging,True,True,24,23,24,23,24,23
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,0,influence_pair,True,True,14,14,14,14,14,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,1,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,2,influence_pair,True,True,10,10,10,10,10,10
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,3,influence_pair,True,True,7,7,7,7,7,7
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Jannik Sinner,4,3,4,influence_pair,True,True,8,8,8,8,8,8
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,0,influence_pair,True,True,18,18,18,18,18,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,1,influence_pair,True,True,32,37,32,37,32,37
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,2,influence_pair,True,True,38,38,38,38,38,38
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,3,influence_pair,True,True,25,25,25,25,25,25
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Holger Rune,5,3,4,influence_pair,True,True,9,9,9,9,9,9
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,0,influence_pair,True,True,60,67,60,67,60,67
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,1,rigging,True,True,54,53,54,53,54,53
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,2,influence_pair,True,True,49,73,49,73,49,73
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,3,influence_pair,True,True,38,43,38,43,38,43
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Alexander Zverev,6,3,4,influence_pair,True,True,52,56,52,56,52,56
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,0,influence_pair,True,True,2,2,2,2,2,2
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,1,influence_pair,True,True,4,4,4,4,4,4
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,2,influence_pair,True,True,1,1,1,1,1,1
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,3,influence_pair,True,True,6,6,6,6,6,6
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Taylor Fritz,7,6,4,influence_pair,True,True,5,5,5,5,5,5
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,0,influence_pair,True,True,29,37,29,37,29,37
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,0,influence_pair,True,True,15,15,15,15,15,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,1,influence_pair,True,True,20,20,20,20,20,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,1,influence_pair,True,True,14,14,14,14,14,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,2,rigging,True,True,24,22,24,22,24,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,2,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,3,influence_pair,True,True,26,31,26,31,26,31
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,3,rigging,True,True,26,24,26,24,26,24
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,6,4,influence_pair,True,True,18,18,18,18,18,18
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Stefanos Tsitsipas,8,7,4,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,0,influence_pair,True,True,15,16,15,16,15,16
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,0,influence_pair,True,True,11,11,11,11,11,11
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,1,influence_pair,True,True,20,29,20,29,20,29
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,1,influence_pair,True,True,20,20,20,20,20,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,2,influence_pair,True,True,15,15,15,15,15,15
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,2,influence_pair,True,True,11,14,11,14,11,14
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,3,influence_pair,True,True,20,22,20,22,20,22
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,3,influence_pair,True,True,18,20,18,20,18,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,6,4,influence_pair,True,True,16,20,16,20,16,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Andrey Rublev,9,7,4,influence_pair,True,True,14,20,14,20,14,20
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,0,influence_pair,True,True,19,21,19,21,19,21
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,1,influence_pair,True,True,15,17,15,17,15,17
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,2,rigging,True,True,28,23,28,23,28,23
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,3,rigging,True,True,29,26,29,26,29,26
tennis_top10_atp,ATP Top-10 Matchups (2020-2024),promote,Hubert Hurkacz,10,7,4,influence_pair,True,True,19,24,19,24,19,24
